text,intent
Rapid Bucuresti cate puncte fata de lider in EFA Champions League 2021-2022,points_gap_to_leader
cat e gapul de puncte pentru Manchester City in premier league 2024-2025,points_gap_to_leader
CFR Cluj cate puncte fata de lider in UEFA Champions League 2023-2024,points_gap_to_leader
goluri marcate de Rodrygo in Ligue 1 2020-2021,player_goals
cati km are maratonul,other
Phil Foden cate goluri are in Liga 1 2022-2023,player_goals
fa-mi un ceai,other
puncte pana la lider pentru FC Brcelona in Liga 1 2025-2026,points_gap_to_leader
cate goluri are kevin de bruyne in 2021-2022,player_goals
cum gatesc paste,other
puncte pana la lider pentru bayern munchen in Premier League 2026-2027,points_gap_to_leader
goluri marcate de Octavian Popescu in liga 1 2026-2027,player_goals
Juventus cate puncte fata de lider in Premier League 2024-2025,points_gap_to_leader
Real Madrid cate puncte fata de lider in Serie A 2025-2026,points_gap_to_leader
deschide youtube,other
cum gatesc paste,other
cate puncte sunt intre juventus si lider in L Liga 2021-2022,points_gap_to_leader
cate goluri are rling haaland,player_goals
phil foden cate goluri are in Ligue 1 2022-2023,player_goals
cate goluri are florinel coman,player_goals
cate puncte sunt intre liverpool si lider in Bundesliga 2019-2020,points_gap_to_leader
goluri karim benzema 2024-2025,player_goals
puncte pana la lider pentru manchester city in UEFA Champions League 2019-2020,points_gap_to_leader
ce ora este,other
porneste muzica,other
diferenta de puncte Bayern Munchen lider la liga 2023-2024,points_gap_to_leader
goluri Lionel Messi in ultimele 10 meciuri,player_goals
cate goluri are ciprian deac in 2020-2021,player_goals
puncte pana la lider pentru Dinamo Bucuresti in serie a 2024-2025,points_gap_to_leader
goluri toni kroos in ultimele 10 meciuri,player_goals
Nicolae Stanciu cate goluri are in EFA Champions League 2023-2024,player_goals
cat e gapul de puncte pentru Bayern Munchen in liga 1 2018-2019,points_gap_to_leader
CFR Clj cate puncte fata de lider in Bundesliga 2022-2023,points_gap_to_leader
goluri marcate de cprian deac in Bundesliga 2020-2021,player_goals
cate goluri are Rodrygo in 2023-2024,player_goals
deschide youtube,other
cate puncte sunt intre FC Barcelona si lider in Srie A 2018-2019,points_gap_to_leader
diferenta de puncte ral madrid lider Bundesliga 2016-2017,points_gap_to_leader
goluri Kevin De Bruyne in ultimele 10 meciuri,player_goals
arsenal cate puncte fata de lider in Premier League 2018-2019,points_gap_to_leader
creeaza un reminder maine,other
cate puncte sunt intre cluj si lider in Premier League 2023-2024,points_gap_to_leader
Sepsi OSK cate puncte fata de lider in L Liga 2018-2019,points_gap_to_leader
goluri Florian Wirtz in ultimele 3 meciuri,player_goals
goluri Vinicius Junior 2017-2018,player_goals
cate puncte sunt intre borussia dortmund si lider in uefa champions league 2018-2019,points_gap_to_leader
pretul la btc,other
cate puncte sunt intre real madrid si lider in Liga 1 2025-2026,points_gap_to_leader
cate puncte sunt intre Dinamo Bucuresti si lider in la liga 2021-2022,points_gap_to_leader
cati km are maratonul,other
diferenta de puncte Inter Milano lider UEFA Champions League 2020-2021,points_gap_to_leader
goluri marcate de Ciprian Deac in Bundesliga 2022-2023,player_goals
Paris Saint-Germain cate puncte fata de lider in liga 1 2017-2018,points_gap_to_leader
cate goluri are andrei ivan,player_goals
kevin de bruyne cate goluri are in Premier League 2023-2024,player_goals
cate puncte sunt intre fcsb si lider in L Liga 2024-2025,points_gap_to_leader
pretul la btc,other
goluri marcate de rafael leao in Liga 1 2019-2020,player_goals
puncte pana la lider pentru Petrolul Ploiesti in liga 1 2025-2026,points_gap_to_leader
puncte pana la lider pentru CFR Cluj in bundesliga 2023-2024,points_gap_to_leader
goluri Octavian Popescu 2026-2027,player_goals
porneste muzica,other
care e vremea azi,other
c ora este,other
cate goluri a marcat Ciprian Deac in Bundesliga 2016-2017,player_goals
cate goluri are darius olaru in 2016-2017,player_goals
goluri Octavian Popescu 2016-2017,player_goals
cate puncte sunt intre Sepsi OSK si lider in uefa champions league 2024-2025,points_gap_to_leader
goluri Ianis Hagi 2017-2018,player_goals
cate goluri are Krim Benzema in 2025-2026,player_goals
goluri marcate de octavian popescu in Premier League 2021-2022,player_goals
goluri marcate de Jude Bellingham in La Liga 2024-2025,player_goals
cti km are maratonul,other
cate goluri a marcat rodrygo in premier league 2026-2027,player_goals
goluri Kylian Mbappe 2019-2020,player_goals
puncte pana la lider pentru arsenal in Serie A 2026-2027,points_gap_to_leader
cate goluri a marcat cristiano ronaldo in Bndesliga 2025-2026,player_goals
puncte pana la lider pentru Bayern Munchen in uefa champions league 2023-2024,points_gap_to_leader
Rapid Bucuresti cate puncte fata de lider in Serie A 2019-2020,points_gap_to_leader
goluri kylian mbappe 2020-2021,player_goals
cate goluri a marcat Phil Foden in premier league 2024-2025,player_goals
deschide youtube,other
diferenta de puncte manchester city lider serie a 2026-2027,points_gap_to_leader
goluri Mario Camora 2017-2018,player_goals
puncte pana la lider pentru Farul Constanta in Bundesliga 2020-2021,points_gap_to_leader
cat e gapul de puncte pentru CFR Cluj in srie a 2017-2018,points_gap_to_leader
Sepsi OSK cate puncte fata de lider in Liga 1 2022-2023,points_gap_to_leader
puncte pana la lider pentru spsi osk in Premier League 2018-2019,points_gap_to_leader
deschide youtube,other
cate goluri a marcat Karim Benzema in Serie A 2025-2026,player_goals
cate puncte sunt intre Brussia Dortmund si lider in serie a 2022-2023,points_gap_to_leader
arata-mi programul de azi,other
cate goluri a marcat Florian Wirtz in Ligue 1 2021-2022,player_goals
arata-mi programul de azi,other
goluri marcate de Neymar in liga 1 2016-2017,player_goals
rafael leao cate goluri are in uefa champions league 2023-2024,player_goals
arata-mi programul de azi,other
ce ora este,other
puncte pana la lider pentru UTA Arad in premier league 2017-2018,points_gap_to_leader
cati km are maratonul,other
deschide youtube,other
care e vremea azi,other
dschide youtube,other
Petrolul Ploiesti cate puncte fata de lider in Bundesliga 2016-2017,points_gap_to_leader
cate goluri are Denis Alibec in 2021-2022,player_goals
cate goluri are kevin de bruyne in 2023-2024,player_goals
cate puncte sunt intre Juventus si lider in Bundesliga 2025-2026,points_gap_to_leader
cate puncte sunt intre Dinamo Bucuresti si lider in Premier League 2020-2021,points_gap_to_leader
fa-mi un ceai,other
cate puncte sunt intre Jventus si lider in UEFA Champions League 2020-2021,points_gap_to_leader
cate puncte sunt intre U Cluj si lider in Bundesliga 2016-2017,points_gap_to_leader
creaza un reminder maine,other
ce ora este,other
cate puncte sunt intre Universitatea Craiova si lider in efa champions league 2019-2020,points_gap_to_leader
Rodrygo cate goluri are in Ligue 1 2022-2023,player_goals
ce ora este,other
goluri marcate de Ianis Hagi in Serie A 2021-2022,player_goals
cate goluri a marcat Octavian Popescu in UEFA Champions League 2020-2021,player_goals
puncte pana la lider pentru FC Barcelona in Bndesliga 2017-2018,points_gap_to_leader
diferenta de puncte U Cluj lider UEFA Champions League 2022-2023,points_gap_to_leader
porneste muzica,other
deschide youtube,other
diferenta de puncte Universitatea Craiova lider Srie A 2023-2024,points_gap_to_leader
goluri marcate de Lonel Messi in Premier League 2024-2025,player_goals
cum gatesc paste,other
fa-mi un ceai,other
u cluj cate puncte fata de lider in Bundesliga 2020-2021,points_gap_to_leader
care e vremea azi,other
deschide youtube,other
cate goluri a marcat Karim Benzema in Bundesliga 2022-2023,player_goals
diferenta de puncte Borussia Dortmund lider UEFA Champions League 2026-2027,points_gap_to_leader
fa-mi un ceai,other
c ora este,other
cate puncte sunt intre Paris Saint-Germain si lider in Liga 1 2023-2024,points_gap_to_leader
spune-mi o gluma,other
cate goluri a marcat Neymar in srie a 2020-2021,player_goals
cate puncte sunt intre Paris Saint-Germain si lider in Liga 1 2026-2027,points_gap_to_leader
Manchester City cate puncte fata de lider in UEFA Champions League 2023-2024,points_gap_to_leader
arata-mi programul de azi,other
goluri Rodrygo 2017-2018,player_goals
cate puncte sunt intre universitatea craiova si lider in Liga 1 2025-2026,points_gap_to_leader
denis alibec cate goluri are in La Liga 2023-2024,player_goals
goluri denis alibec 2016-2017,player_goals
diferenta de puncte U Cluj lider bundesliga 2023-2024,points_gap_to_leader
cat e gapul de puncte pentru Paris Saint-Germain in Premier League 2016-2017,points_gap_to_leader
cate puncte sunt intre petrolul ploiesti si lider in Liga 1 2025-2026,points_gap_to_leader
diferenta de puncte Petrolul Ploiesti lider Liga 1 2021-2022,points_gap_to_leader
creeaza un reminder maine,other
cate goluri are Rodrygo in 2019-2020,player_goals
Vinicius Junior cate goluri are in Lga 1 2016-2017,player_goals
goluri Denis Alibec in ultimele 3 meciuri,player_goals
neymar cate goluri are in Lga 1 2019-2020,player_goals
cate goluri are Jude Bellingham in 2018-2019,player_goals
cum gatesc paste,other
diferenta de puncte FC Barcelona lider La Liga 2020-2021,points_gap_to_leader
cum gatesc paste,other
cate goluri a marcat Ncolae Stanciu in UEFA Champions League 2016-2017,player_goals
luka modric cate goluri are in Bundesliga 2021-2022,player_goals
cate goluri a marcat Darius Olaru in Premier League 2025-2026,player_goals
cate goluri are luka modric,player_goals
cat e gapul de puncte pentru Rapid Bucuresti in Serie A 2018-2019,points_gap_to_leader
cate goluri are crstiano ronaldo,player_goals
Cluj cate puncte fata de lider in Liga 1 2020-2021,points_gap_to_leader
cat e gapul de puncte pentru Manchester City in premier league 2021-2022,points_gap_to_leader
diferenta de puncte FC Barcelona lider UEFA Champions League 2020-2021,points_gap_to_leader
cate goluri are ciprian deac in 2017-2018,player_goals
care e vremea azi,other
goluri Bukayo Saka in ultimele 3 meciuri,player_goals
cat e gapul de puncte pentru Manchester City in UEFA Champions League 2019-2020,points_gap_to_leader
puncte pana la lider pentru Sepsi OSK in bundesliga 2026-2027,points_gap_to_leader
puncte pana la lider pentru UTA Arad in Premier League 2019-2020,points_gap_to_leader
goluri bukayo saka in ultimele 5 meciuri,player_goals
arata-mi programul de azi,other
spune-mi o gluma,other
cate goluri a marcat ntoine Griezmann in Bundesliga 2026-2027,player_goals
goluri hrry kane in ultimele 5 meciuri,player_goals
cate puncte sunt intre Universitatea Craiova si lider in Serie A 2016-2017,points_gap_to_leader
goluri Phil Foden 2016-2017,player_goals
pretul la btc,other
goluri Antoine Griezmann in ultimele 10 meciuri,player_goals
care e vremea azi,other
cate puncte sunt intre FCSB si lider in Prmier League 2017-2018,points_gap_to_leader
cate goluri are Luka Modric,player_goals
spune-mi o gluma,other
diferenta de puncte Liverpool lider UEFA Champions League 2021-2022,points_gap_to_leader
diferenta de puncte Petrolul Ploiesti lider Bundesliga 2017-2018,points_gap_to_leader
deschide youtube,other
goluri marcate de Denis Alibec in Premier League 2021-2022,player_goals
deschide youtube,other
puncte pana la lider pentru Inter Milano in Premier League 2021-2022,points_gap_to_leader
Sepsi OSK cate puncte fata de lider in Premier League 2022-2023,points_gap_to_leader
arata-mi programul de azi,other
cate puncte sunt intre Ptrolul Ploiesti si lider in Premier League 2024-2025,points_gap_to_leader
cat e gapul de puncte pentru Manchester City in La Liga 2017-2018,points_gap_to_leader
prtul la btc,other
UTA Arad cate puncte fata de lider in uefa champions league 2016-2017,points_gap_to_leader
spune-mi o gluma,other
cate puncte sunt intre Universitatea Craiova si lider in Premier League 2023-2024,points_gap_to_leader
puncte pana la lider pentru U Cluj in Serie A 2025-2026,points_gap_to_leader
diferenta de puncte UTA Arad lider premier league 2021-2022,points_gap_to_leader
cate goluri are drius olaru,player_goals
puncte pana la lider pentru sepsi osk in Serie A 2023-2024,points_gap_to_leader
goluri marcate de Mohamed Salah in serie a 2024-2025,player_goals
cate puncte sunt intre Frul Constanta si lider in srie a 2018-2019,points_gap_to_leader
cate goluri are Vinicius Junior,player_goals
puncte pana la lider pentru real madrid in Serie A 2018-2019,points_gap_to_leader
cate goluri a marcat Jude Bellingham in ligue 1 2022-2023,player_goals
diferenta de puncte Brussia Dortmund lider Premier League 2020-2021,points_gap_to_leader
cate puncte sunt intre Dinamo Bucuresti si lider in Ligue 1 2016-2017,points_gap_to_leader
goluri marcate de antoine griezmann in premier league 2019-2020,player_goals
cate puncte sunt intre liverpool si lider in serie a 2022-2023,points_gap_to_leader
ce ora este,other
pretul la btc,other
cate puncte sunt intre Universitatea Craiova si lider in uefa champions league 2018-2019,points_gap_to_leader
cate goluri are flrian wirtz,player_goals
puncte pana la lider pentru Inter Milano in ligue 1 2020-2021,points_gap_to_leader
goluri marcate de Florian Wirtz in Serie A 2020-2021,player_goals
Denis Alibec cate goluri are in Liga 1 2022-2023,player_goals
puncte pana la lider pentru FC Barcelona in Liga 1 2022-2023,points_gap_to_leader
cate puncte sunt intre dinamo bucuresti si lider in Serie A 2016-2017,points_gap_to_leader
Bayern Munchen cate puncte fata de lider in UEFA Champions League 2023-2024,points_gap_to_leader
pretul la btc,other
goluri marcate de Florinel Coman in serie a 2016-2017,player_goals
cate goluri are Bukayo Saka in 2024-2025,player_goals
goluri marcate de Antoine Griezmann in La Liga 2026-2027,player_goals
cat e gapul de puncte pentru Real Madrid in Bndesliga 2026-2027,points_gap_to_leader
puncte pana la lider pentru dinamo bucuresti in Liga 1 2016-2017,points_gap_to_leader
porneste muzica,other
cate puncte sunt intre FC Barcelona si lider in premier league 2026-2027,points_gap_to_leader
cate goluri are harry kane in 2023-2024,player_goals
cate puncte sunt intre fcsb si lider in UEFA Champions League 2026-2027,points_gap_to_leader
cate goluri are cprian deac,player_goals
goluri marcate de radu dragusin in Liga 1 2025-2026,player_goals
cate goluri are denis alibec,player_goals
arata-mi programul de azi,other
creeaza un reminder maine,other
goluri marcate de Rafael Leao in Ligue 1 2023-2024,player_goals
pretul la btc,other
goluri Robert Lewandowski in ultimele 5 meciuri,player_goals
cate puncte sunt intre UTA Arad si lider in La Liga 2019-2020,points_gap_to_leader
cate goluri are Denis Alibec in 2023-2024,player_goals
arata-mi programul de azi,other
cum gatesc paste,other
cate puncte sunt intre frul constanta si lider in Bundesliga 2024-2025,points_gap_to_leader
cate goluri are Nymar,player_goals
cate goluri a marcat Florian Wirtz in Liga 1 2020-2021,player_goals
puncte pana la lider pentru FCSB in Premier League 2020-2021,points_gap_to_leader
cat e gapul de puncte pentru Lverpool in Premier League 2026-2027,points_gap_to_leader
cate goluri are Ianis Hagi in 2016-2017,player_goals
puncte pana la lider pentru FCSB in Srie A 2016-2017,points_gap_to_leader
goluri rodrygo in ultimele 3 meciuri,player_goals
goluri marcate de Nicolae Stanciu in liga 1 2023-2024,player_goals
creeaza un reminder maine,other
cate goluri are Bukayo Saka,player_goals
goluri Luka Modric in ultimele 3 meciuri,player_goals
arata-mi programul de azi,other
puncte pana la lider pentru CFR Clj in serie a 2017-2018,points_gap_to_leader
goluri marcate de kylian mbappe in Bundesliga 2016-2017,player_goals
cate goluri are rodrygo in 2026-2027,player_goals
cate puncte sunt intre U Cluj si lider in UEFA Champions League 2023-2024,points_gap_to_leader
diferenta de puncte Byern Munchen lider Serie A 2020-2021,points_gap_to_leader
goluri marcate de Florinel Coman in premier league 2020-2021,player_goals
goluri Mario Camora 2019-2020,player_goals
goluri luka modric in ultimele 10 meciuri,player_goals
cfr cluj cate puncte fata de lider in Serie A 2017-2018,points_gap_to_leader
diferenta de puncte arsenal lider Liga 1 2021-2022,points_gap_to_leader
dschide youtube,other
Florinel Coman cate goluri are in Bundesliga 2025-2026,player_goals
goluri Luka Modric in ultimele 3 meciuri,player_goals
goluri marcate de Radu Dragusin in Serie A 2019-2020,player_goals
fa-mi un ceai,other
UTA Arad cate puncte fata de lider in serie a 2025-2026,points_gap_to_leader
cate puncte sunt intre real madrid si lider in La Liga 2022-2023,points_gap_to_leader
creeaza un reminder maine,other
diferenta de puncte inter milano lider Bundesliga 2026-2027,points_gap_to_leader
ce ora este,other
cate puncte sunt intre Liverpool si lider in liga 1 2026-2027,points_gap_to_leader
cate goluri are Neymar in 2020-2021,player_goals
f-mi un ceai,other
anis hagi cate goluri are in UEFA Champions League 2023-2024,player_goals
prtul la btc,other
cate goluri are Antoine Griezmann in 2021-2022,player_goals
cate puncte sunt intre nter Milano si lider in Liga 1 2022-2023,points_gap_to_leader
creeaza un reminder maine,other
cate goluri are Tni Kroos in 2026-2027,player_goals
diferenta de puncte Real Madrid lider UEFA Champions League 2023-2024,points_gap_to_leader
diferenta de puncte inter milano lider Liga 1 2025-2026,points_gap_to_leader
cate goluri a marcat Andrei Ivan in Liga 1 2025-2026,player_goals
porneste muzica,other
diferenta de puncte Petrolul Ploiesti lider Premier League 2016-2017,points_gap_to_leader
cat e gapul de puncte pentru UTA Arad in UEFA Champions League 2024-2025,points_gap_to_leader
cate goluri a marcat Rfael Leao in UEFA Champions League 2021-2022,player_goals
diferenta de puncte pris saint-germain lider Ligue 1 2023-2024,points_gap_to_leader
goluri Ciprian Deac in ultimele 5 meciuri,player_goals
Rapid Bucuresti cate puncte fata de lider in La Liga 2024-2025,points_gap_to_leader
spune-mi o gluma,other
cate goluri are andrei ivan in 2018-2019,player_goals
cat e gapul de puncte pentru rpid bucuresti in serie a 2025-2026,points_gap_to_leader
spune-mi o gluma,other
cat e gapul de puncte pentru Bayern Munchen in Premier League 2019-2020,points_gap_to_leader
goluri Vinicius Junior in ultimele 10 meciuri,player_goals
Farul Constanta cate puncte fata de lider in Bundesliga 2026-2027,points_gap_to_leader
diferenta de puncte Dinamo Bucuresti lider Premier League 2023-2024,points_gap_to_leader
liverpool cate puncte fata de lider in Liga 1 2024-2025,points_gap_to_leader
pretul la btc,other
goluri marcate de Toni Kroos in La Liga 2016-2017,player_goals
cat e gapul de puncte pentru nter milano in Premier League 2020-2021,points_gap_to_leader
diferenta de puncte fc barcelona lider uefa champions league 2026-2027,points_gap_to_leader
goluri luka modric in ultimele 3 meciuri,player_goals
cate goluri are neymar,player_goals
Inter Milano cate puncte fata de lider in L Liga 2019-2020,points_gap_to_leader
pretul la btc,other
cate goluri are kevin de bruyne,player_goals
arata-mi programul de azi,other
puncte pana la lider pentru real madrid in premier league 2016-2017,points_gap_to_leader
UTA Arad cate puncte fata de lider in Ligue 1 2022-2023,points_gap_to_leader
goluri marcate de ciprian deac in bundesliga 2022-2023,player_goals
cate goluri are Robert Lewandowski in 2018-2019,player_goals
cate goluri a marcat ndrei Ivan in Liga 1 2016-2017,player_goals
goluri Bukayo Saka 2020-2021,player_goals
Rapid Bucuresti cate puncte fata de lider in bndesliga 2021-2022,points_gap_to_leader
puncte pana la lider pentru Bayern Munchen in Premier League 2022-2023,points_gap_to_leader
pretul la btc,other
diferenta de puncte paris saint-germain lider Serie A 2026-2027,points_gap_to_leader
cate puncte sunt intre Liverpool si lider in UEFA Champions League 2017-2018,points_gap_to_leader
cate goluri are jude bellingham in 2022-2023,player_goals
cate puncte sunt intre arsenal si lider in Premier League 2021-2022,points_gap_to_leader
arata-mi programul de azi,other
fa-mi un ceai,other
puncte pana la lider pentru arsenal in Prmier League 2019-2020,points_gap_to_leader
puncte pana la lider pentru rsenal in Bundesliga 2025-2026,points_gap_to_leader
cate puncte sunt intre frul constanta si lider in serie a 2018-2019,points_gap_to_leader
cate goluri are Toni Kroos in 2017-2018,player_goals
cate puncte sunt intre Arsenal si lider in liga 1 2017-2018,points_gap_to_leader
ntoine Griezmann cate goluri are in premier league 2022-2023,player_goals
Dinamo Bucuresti cate puncte fata de lider in UEFA Champions League 2026-2027,points_gap_to_leader
florinel coman cate goluri are in Liga 1 2018-2019,player_goals
deschide youtube,other
bayern munchen cate puncte fata de lider in ligue 1 2018-2019,points_gap_to_leader
goluri Octavian Popescu in ultimele 5 meciuri,player_goals
cate puncte sunt intre Dinamo Bucuresti si lider in bundesliga 2021-2022,points_gap_to_leader
cate goluri a marcat kevin de bruyne in Bundesliga 2024-2025,player_goals
cat e gapul de puncte pentru Manchester City in liga 1 2017-2018,points_gap_to_leader
cate puncte sunt intre Borussia Dortmund si lider in premier league 2017-2018,points_gap_to_leader
goluri jude bellingham 2021-2022,player_goals
goluri Neymar in ultimele 5 meciuri,player_goals
puncte pana la lider pentru cluj in UEFA Champions League 2020-2021,points_gap_to_leader
goluri marcate de Harry Kane in serie a 2024-2025,player_goals
cate puncte sunt intre Dinamo Bucuresti si lider in Serie A 2020-2021,points_gap_to_leader
goluri marcate de Erling Haaland in liga 1 2020-2021,player_goals
goluri Radu Dragusin 2025-2026,player_goals
puncte pana la lider pentru FC Brcelona in Srie A 2021-2022,points_gap_to_leader
cate puncte sunt intre bayern munchen si lider in UEFA Champions League 2019-2020,points_gap_to_leader
liverpool cate puncte fata de lider in Bundesliga 2023-2024,points_gap_to_leader
cum gatesc paste,other
cre e vremea azi,other
goluri kylian mbappe in ultimele 5 meciuri,player_goals
puncte pana la lider pentru fc barcelona in UEFA Champions League 2020-2021,points_gap_to_leader
cat e gapul de puncte pentru Juventus in Premier League 2025-2026,points_gap_to_leader
Cristiano Ronaldo cate goluri are in Bndesliga 2022-2023,player_goals
ce ora este,other
UTA Arad cate puncte fata de lider in Bundesliga 2025-2026,points_gap_to_leader
goluri marcate de Krim Benzema in Liga 1 2018-2019,player_goals
pretul la btc,other
diferenta de puncte Mnchester City lider UEFA Champions League 2025-2026,points_gap_to_leader
spune-mi o gluma,other
cate goluri a marcat radu dragusin in serie a 2017-2018,player_goals
puncte pana la lider pentru arsenal in premier league 2025-2026,points_gap_to_leader
cat e gapul de puncte pentru dinamo bucuresti in Bundesliga 2026-2027,points_gap_to_leader
cate goluri are kevin de bruyne in 2025-2026,player_goals
cate goluri are erling haaland in 2020-2021,player_goals
cate goluri are Erling Haaland,player_goals
cat e gapul de puncte pentru Liverpool in La Liga 2019-2020,points_gap_to_leader
cate puncte sunt intre CFR Cluj si lider in bndesliga 2018-2019,points_gap_to_leader
cat e gapul de puncte pentru Dinamo Bucuresti in Premier League 2023-2024,points_gap_to_leader
cat e gapul de puncte pentru Real Madrid in Bundesliga 2020-2021,points_gap_to_leader
cate goluri are Karim Benzema,player_goals
cate goluri are Kylian Mbappe in 2018-2019,player_goals
goluri Vinicius Junior 2022-2023,player_goals
cate goluri a marcat Luka Modric in Serie A 2024-2025,player_goals
cate puncte sunt intre Rapid Bucuresti si lider in Bundesliga 2016-2017,points_gap_to_leader
Ianis Hagi cate goluri are in UEFA Champions League 2025-2026,player_goals
goluri robert lewandowski in ultimele 5 meciuri,player_goals
diferenta de puncte rapid bucuresti lider Bundesliga 2023-2024,points_gap_to_leader
cate goluri a marcat Robert Lewandowski in liga 1 2025-2026,player_goals
cate goluri are Nymar,player_goals
diferenta de puncte Real Madrid lider liga 1 2025-2026,points_gap_to_leader
CFR Cluj cate puncte fata de lider in Srie A 2017-2018,points_gap_to_leader
cate puncte sunt intre Bayern Munchen si lider in Bundesliga 2025-2026,points_gap_to_leader
cate goluri are Luka Modric in 2022-2023,player_goals
cate goluri a marcat Ciprian Deac in EFA Champions League 2021-2022,player_goals
goluri Florian Wirtz 2018-2019,player_goals
Inter Milano cate puncte fata de lider in bundesliga 2020-2021,points_gap_to_leader
puncte pana la lider pentru mnchester city in Ligue 1 2016-2017,points_gap_to_leader
puncte pana la lider pentru borussia dortmund in la liga 2024-2025,points_gap_to_leader
cate goluri are Cristiano Ronaldo in 2019-2020,player_goals
cate goluri a marcat antoine griezmann in premier league 2024-2025,player_goals
fa-mi un ceai,other
cre e vremea azi,other
goluri marcate de Rfael Leao in bundesliga 2019-2020,player_goals
goluri marcate de Antoine Griezmann in EFA Champions League 2024-2025,player_goals
cat e gapul de puncte pentru Liverpool in Premier League 2026-2027,points_gap_to_leader
rata-mi programul de azi,other
diferenta de puncte FCSB lider Prmier League 2022-2023,points_gap_to_leader
cate goluri are Mohamed Salah,player_goals
cati km are maratonul,other
care e vremea azi,other
cate goluri are Mohamed Salah,player_goals
puncte pana la lider pentru Manchester City in Premier League 2019-2020,points_gap_to_leader
goluri Ciprian Deac in ultimele 10 meciuri,player_goals
arata-mi programul de azi,other
radu dragusin cate goluri are in La Liga 2022-2023,player_goals
diferenta de puncte Dinamo Bucuresti lider Liga 1 2024-2025,points_gap_to_leader
ctavian Popescu cate goluri are in La Liga 2019-2020,player_goals
Frul Constanta cate puncte fata de lider in Serie A 2022-2023,points_gap_to_leader
cate goluri are ndrei Ivan in 2022-2023,player_goals
porneste muzica,other
goluri kevin de bruyne in ultimele 3 meciuri,player_goals
cate puncte sunt intre real madrid si lider in bndesliga 2017-2018,points_gap_to_leader
diferenta de puncte CFR Cluj lider Bundesliga 2016-2017,points_gap_to_leader
